Id_Encuesta,Año,SECTOR,TAMAÑO,P38_1,P38_2,P38_3,P38_4,P38_90,P39,P40,P41_1,P41_2,P41_3,P41_4,P41_OTRO,P42_1,P42_2,P42_3,P42_4,P42_5,P42_OTRO,P43,P44,P44A,P45,P46,P47,P48A,P48B,P48C,P49_1,P49_2,P49_3,P49_4,P50,P51,P51_OTRO,P52_1,P52_2,P52_3,P52_4,P52_90,P53,P54,P55,P56,P57A,P57B,P57C,P57D,P57E,P57F,P57G,P57H,P58,P59,fax expansión
01_DGC_Clima_Negocios,2021,Construcción,Mediana,,Estatuto Anticorrupción (Ley 1474 del 2011),,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,,,,,,Unificar el mando,Si,Si,POR LO GENERAL PEDIMOS INFORMACION FINANCIERA Y LA CONTRASTAMOS CON INFORMACION EN LAS PUBLICACIONES DE INTERNET,No existen,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,Fiscalía General de la Nación,,,Alto,,Por competencia no cumplen  calidad,Plan Vallejo,Centro Integrado de Lucha Contra el Contrabando de la DIAN,,,,Si,Parcialmente segura,Disminuyó,No,,,,,,,,,,,18.15152
01_DGC_Clima_Negocios,2021,Comercio,Micro,,,,,Ninguna,No sabe,No,,Falta de promoción y socialización por parte de las autoridades,,,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,,,,Ninguna,No,Insegura,Aumentó,Si,Si,No,No,No,No,No,No,No,No,,128.69382
01_DGC_Clima_Negocios,2021,Servicios,Micro,,,Observatorio de Transparencia y Anticorrupción de la Secretaría de Transparencia de la Presidencia de la República,,,Alta,Si,,,,,,,,,,,Realizacion de auditoria,Si,Si,revisoria fiscal,No sabe,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,,,Medio,No se ha visto afectada,,,,,,Ninguna,Si,Insegura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Servicios,Micro,,,,,Ninguna,Media,No,Desconocimiento de la temática,,Falta de un presupuesto asignado para esto,,,,,,,,,Si,No,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,,,,,Ninguna,Si,Insegura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Industrias,Mediana,,,,,Ninguna,No sabe,Si,,,,,,Programa de capacitación a empleados,,,,,,Si,Si,CONOCER AL CLIENTE LOS REPORTE DE OPERACIONES SOPECHOSAS Y POLITICAS INTERNAS DE PREVENCION DE LAVADOS DE ACTIVOS Y RIESGO DE FINANCIACIÓN AL TERRORISMO ,Siguen igual,No,Alta,NO LAS CONOCE,SI LAS CONOCE,NO LAS CONOCE,DIAN,,,,Bajo,No se ha visto afectada,,,,,,Ninguna,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,16.64583
01_DGC_Clima_Negocios,2021,Comercio,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Baja,No,,,,No es un tema que le competa a la empresa,,,,,,,,Si,No,,,,,NO LAS CONOCE,NO LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Medio,No se ha visto afectada,,,,,,Ninguna,No,Insegura,Disminuyó,No,,,,,,,,,,,128.69382
01_DGC_Clima_Negocios,2021,Industrias,Micro,,,,,Ninguna,No sabe,No,,,,,Decision socios,,,,,,,Si,Si,no fuente de invercion externa ,Han disminuido,No,No sabe,NO LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,,,,,Ninguna,Si,Insegura,Siguió igual,No,,,,,,,,,,,88.6872
01_DGC_Clima_Negocios,2021,Comercio,Micro,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Media,No,,,,,Empresa familiar/Pequeña,,,,,,,No,,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Alto,,Por competencia no cumplen  calidad,,,,,Ninguna,No,Insegura,Aumentó,Si,Si,Si,Si,Si,Si,No,Si,No,Si,URI de la Fiscalía,128.69382
01_DGC_Clima_Negocios,2021,Servicios,Micro,,Estatuto Anticorrupción (Ley 1474 del 2011),,,,Alta,Si,,,,,,,,Códigos de ética y buen gobierno,Política de prevención del fraude y soborno,,,Si,Si,NORMAS,Han disminuido,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,,Gremios y/o Cámaras de Comercio,Alto,,Menor posibilidad de trabajo,Plan Vallejo,,,,,No,Parcialmente segura,Aumentó,No,,,,,,,,,,,147.36765
01_DGC_Clima_Negocios,2021,Comercio,Micro,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,Programa de capacitación a empleados,Programas de cumplimiento,Códigos de ética y buen gobierno,,,,Si,Si,todo se realiza con los bancos para evitar el lavado de activos,Han disminuido,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Alto,Por competencia vía reducción de precios,,,,,,Ninguna,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,128.69382
01_DGC_Clima_Negocios,2021,Servicios,Pequeña,,,,,Ninguna,Alta,No,,,,,No ve necesario,,,,,,,No,,,,,,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,,,Policía Fiscal y Aduanera (POLFA),,Bajo,No se ha visto afectada,,,,,,Ninguna,No,Parcialmente segura,Disminuyó,No,,,,,,,,,,,30.48869
01_DGC_Clima_Negocios,2021,Comercio,Pequeña,,,,Plan Anticorrupción y de Atención al Ciudadano – PAAC de la Secretaría Distrital de Gobierno,,Alta,Si,,,,,,Programa de capacitación a empleados,,,,Canales de denuncia internos,,Si,Si,todos los canales de la dian y conocer al cliente ,Siguen igual,No,Alta,SI LAS CONOCE,SI LAS CONOCE,SI LAS CONOCE,DIAN,,Policía Fiscal y Aduanera (POLFA),,Medio,No se ha visto afectada,,,,,,Ninguna,Si,Parcialmente segura,Aumentó,No,,,,,,,,,,,34.42515
